id,目录,version,发布状态,likes,play_pv,like_rate_permille,retention_t5s_pct,complete_rate_pct,avg_watch_sec,first_cliff_sec,source_rec_pct,comments,shares,saves,follow_gain,gate_hype_density,gate_first_big_pct,gate_fail_count,duration_sec,成片版本,data_quality,快照时间,发布时间,备注,字数,呼应对,内心句,宣判句,台词行,抒情收束,误读句,价格数,制度词,人际词,comment_buckets
62,62_班委三人组,,published,90,,,,,,,,,,,,,,,,,,legacy_unverified,,,六篇中最好 均未过百（v1 备注原样保留）,2365,0,3,0,4,0,0,0,20,70
57,57_床帘发光的男生,,published,60,,,,,,,,,,,,,,,,,,legacy_unverified,,,"疑似推流（v1 备注原样保留；""过百""争议见 _口径核验与采集计划_v2.md §1.2-2）",2133,2,6,0,1,0,0,1,5,8
58,58_反骨嘉豪,,published,30,,,,,,,,,,,,,,,,,,legacy_unverified,,,复盘定性：无代价/给糖/嘉豪传套你（见 _数据_v2 58b 对照）,2036,0,6,1,8,0,0,0,0,8
59,59_精神小伙的一生,,published,30,,,,,,,,,,,,,,,,,,legacy_unverified,,,复盘定性：同题撞正主 05 且写反,1876,0,3,0,7,0,0,6,0,0
60,60_职高精神小伙的一生,,published,30,,,,,,,,,,,,,,,,,,legacy_unverified,,,复盘定性：正面撞 06 反着写,1820,0,2,0,7,0,0,3,0,19
61,61_县城第一名的一生,,published,30,,,,,,,,,,,,,,,,,,legacy_unverified,,,"复盘称""最差""实为与58/59/60并列30（第5处矛盾）",2509,0,1,0,0,1,1,13,0,11
58b,58b_反骨嘉豪_代价版,v1,planned,,,,,,,,,,,,,,12.0,26,0,,,pending_backend,,,七闸全绿（fuben_run 2026-09-18 实测）；计划 D3 发布,2257,,,,,,,,,,
66,66_寝室里什么都不争的那个女生,v6,planned,,,,,,,,,,,,,,7.6,29,0,,,pending_backend,,,复盘_快推结构实测全绿；计划 D1 发布,2196,,,,,,,,,,
64,64_活人微死的AI人,v8待改,planned,,,,,,,,,,,,,,-1,-1,,,pending_backend,,,须先执行 审核报告.md 的 S1 去牌（豆包→那个AI 等三处）再发；计划 D2,3049,,,,,,,,,,
72c,72_每天买一张彩票的人_爽点紧凑版,v10,planned,,,,,,,,,,,,,,14.8,7,0,,,pending_backend,,,v10 旗舰验证；主目录镜像同步；计划 D4,2977,,,,,,,,,,
65,65_心机舍友,v6,planned,,,,,,,,,,,,,,,,,,,,pending_backend,,,复盘§五预判剧本层无病灶仅偏长（2900字）——正好测 3 分钟线；计划 D5,2900,,,,,,,,,,
76,76_辞职回家给爸妈打工的儿子,R11,published,12,798,15.0,,4.0,18,,,,,,,,,,446,全长TTS v1,backend_export,2026-09-19T15:22,2026-09-19 14:09,D0首批真实数据(截图)；T+73min；时长07:26超冷启动带2.5倍；封面CTR 0%(新片曝光少)；发布窗口偏离19:30约定；标题未带签名句「今天体验的人生副本是」,,,,,,,,,,,
72,72_每天买一张彩票的人(发布版本目录待确认),?,published,28,1033,27.1,,6.0,30,,,,,,,,,,497,全长TTS v1,backend_export,2026-09-19T15:22,2026-09-18 19:41,诊断:播放量较往期下降46.4%；封面CTR 100%(小样本)；点赞率2.7%高于1-2%基准→内容共鸣不是主因；30/497s完播proxy=6%,,,,,,,,,,,
legacy-01,未入库_炒股暴富后又跌落谷底的一生,?,published,15,2094,7.2,,4.5,17,,,,,,,,,,375,全长TTS v1,backend_export,2026-09-19T15:22,2026-09-17 19:40,仓库无对应作品目录(E1对账待办)；诊断:播放较往期-0.7%；2094播放=曾进二级池；点赞率0.72%偏低；17/375s=4.5%,,,,,,,,,,,
